"","Thermophilic","Nonfreshwater_habitat","Akinetes","Heterocysts","Nitrogen_fixation","Morphology","Habit","Freeliving","Mats","Epi/Endolithic","Epiphytic","Periphytic","Motility","Hormogonia","Gas_vesicles","False_Branching","True_Branching","Fission_in_multiple_planes","Multiseriate_trichomes","Baeocytes","Extracellular_sheath","Mucilage","celldiam_mean"
"Prochlorococcus.marinus.subsp.marinus.str.CCMP1375",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65
"Prochlorococcus.marinus.str.MIT9211",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65
"Prochlorococcus.marinus.str.NATL1A",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65
"Prochlorococcus.marinus.str.AS9601",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65
"Prochlorococcus.marinus.str.MIT9202",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65
"Prochlorococcus.marinus.str.MIT9312",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65
"Prochlorococcus.marinus.str.MIT9515",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65
"Prochlorococcus.marinus.subsp.pastoris.str.CCMP1986",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65
"Prochlorococcus.marinus.str.MIT9303",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65
"Synechococcus.sp.WH8016",0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,1.35
"Synechococcus.sp.CC9311",0,1,0,0,NA,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,1.35
"Synechococcus.sp.WH7805",0,1,0,0,NA,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1.15
"Synechococcus.sp.WH7803",0,1,0,0,NA,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1.15
"Synechococcus.sp.RS9916",0,1,0,0,NA,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,1.35
"Synechococcus.sp.RS9917",0,1,0,0,NA,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,1.35
"Synechococcus.sp.WH8109",0,1,0,0,NA,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,1.35
"Synechococcus.sp.CC9605",0,1,0,0,NA,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,1.35
"Synechococcus.sp.WH8102",0,1,0,0,NA,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1.15
"Synechococcus.sp.BL107",0,1,0,0,NA,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,1.35
"Synechococcus.sp.CC9902",0,1,0,0,NA,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,1.35
"Synechococcus.sp.CB0205",0,1,0,0,NA,0,0,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,1.35
"Synechococcus.sp.CB0101",0,1,0,0,NA,0,0,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,1.35
"Cyanobium.sp.PCC7001",0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.8
"Cyanobium.gracile.PCC6307",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
"Synechococcus.sp.WH5701",0,1,0,0,NA,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1.15
"Synechococcus.sp.RCC307",0,1,0,0,NA,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,1
"Leptolyngbya.sp.PCC7375",0,1,0,0,NA,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,NA,0,NA
"Synechococcus.sp.PCC7335",0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2
"Leptolyngbya.sp.PCC6406",0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1.05
"Nodosilinea.nodulosa.PCC7104",0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1.25
"Oscillatoria.sp.PCC6506",0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,4.5
"Oscillatoria.nigro.viridis.PCC7112",0,0,0,0,0,1,1,0,1,1,1,0,1,1,NA,0,0,0,1,0,1,0,7.5
"Microcoleus.vaginatus.FGP.2",0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,4.5
"Trichodesmium.erythraeum.IMS101",0,1,0,0,1,1,0,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,0,0,1,14
"Lyngbya.sp.PCC8106",0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,10
"Arthrospira.sp.PCC8005",0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,9
"Arthrospira.platensis.str.Paraca",0,0,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,0,0,0,7.5
"Oscillatoria.acuminata.PCC6304",0,0,0,0,0,1,1,0,1,1,1,0,1,1,NA,0,0,0,1,0,1,0,4.5
"Oscillatoria.sp.PCC10802",NA,0,0,0,0,1,1,0,1,1,1,0,1,1,NA,0,0,0,1,0,1,0,NA
"Calothrix.sp.PCC7103",0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,8.8
"Calothrix.sp.PCC6303",0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,NA
"Rivularia.sp.PCC7116",0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,14
"Fischerella.muscicola.PCC73103",1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,6.5
"Fischerella.sp.PCC9339",0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,NA
"Fischerella.sp.JSC.11",1,0,1,1,1,1,1,0,0,1,1,0,1,1,NA,1,1,1,1,0,0,1,NA
"Fischerella.muscicola.PCC7414",1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,6.5
"Chlorogloeopsis.fritschii.PCC6912",1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,3.23
"Mastigocladopsis.repens.PCC10914",0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,NA
"Nostoc.punctiforme.PCC73102",0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,5.5
"Microchaete.sp.PCC7126",0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,NA
"Calothrix.sp.PCC7507",0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,3.65
"Cylindrospermum.stagnale.PCC7417",0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2.7
"Nostoc.azollae.0708",0,0,1,1,1,1,1,0,0,0,0,0,1,1,NA,0,0,0,1,0,1,1,NA
"Raphidiopsis.brookii.D9",0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3.55
"Cylindrospermopsis.raciborskii.CS.505",0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.4
"Anabaena.sp.PCC7108",0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,4.5
"Anabaena.cylindrica.PCC7122",0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4.5
"Nodularia.spumigena.CCY9414",0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,25
"Anabaena.variabilis.ATCC29413",0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,4.5
"Nostoc.sp.PCC7120",0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,3.25
